
2024/08/31 (19:53:41) | DEBUG: Shared::init() : Initialized.

2024/08/31 (21:06:14) | ===> btop++ v.1.3.2
2024/08/31 (21:06:14) | INFO: Logger set to DEBUG
2024/08/31 (21:06:14) | DEBUG: Using locale es_ES.UTF-8
2024/08/31 (21:06:14) | INFO: Running on /dev/tty3
2024/08/31 (21:06:14) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2024/08/31 (21:06:14) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/08/31 (21:06:14) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/08/31 (21:06:14) | DEBUG: Shared::init() : Initialized.
2024/08/31 (21:07:52) | INFO: Quitting! Runtime: 00:01:38

2024/09/18 (06:14:02) | ===> btop++ v.1.3.2
2024/09/18 (06:14:02) | INFO: Logger set to DEBUG
2024/09/18 (06:14:02) | DEBUG: Using locale es_ES.UTF-8
2024/09/18 (06:14:02) | INFO: Running on /dev/pts/2
2024/09/18 (06:14:03) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/09/18 (06:14:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/09/18 (06:14:03) | DEBUG: Shared::init() : Initialized.
2024/09/18 (06:14:03) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
